,Brand,avg_price
0,BMW,61546.76
1,Audi,53452.11
2,FIAT,22670.24
3,Mercedes-Benz,71476.23
4,Chrysler,26722.96
5,Nissan,28583.43
6,Volvo,28541.16
7,Mazda,20039.38
8,Mitsubishi,21240.54
9,Ferrari,238218.84
10,Alfa Romeo,61600.0
11,Toyota,29030.02
12,McLaren,239805.0
13,Maybach,546221.88
14,Pontiac,19321.55
15,Porsche,101622.4
16,Saab,27413.5
17,GMC,30493.3
18,Hyundai,24597.04
19,Plymouth,3122.9
20,Honda,26674.34
21,Oldsmobile,11542.54
22,Suzuki,17907.21
23,Ford,27399.27
24,Cadillac,56231.32
25,Kia,25310.17
26,Bentley,247169.32
27,Chevrolet,28350.39
28,Dodge,22390.06
29,Lamborghini,331567.31
30,Lincoln,42839.83
31,Subaru,24827.5
32,Volkswagen,28102.38
33,Spyker,213323.33
34,Buick,28206.61
35,Acura,34887.59
36,Rolls-Royce,351130.65
37,Maserati,114207.71
38,Lexus,47549.07
39,Aston Martin,197910.38
40,Land Rover,67823.22
41,Lotus,69188.28
42,Infiniti,42394.21
43,Scion,19932.5
44,Genesis,46616.67
45,HUMMER,36464.41
46,Tesla,85255.56
47,Bugatti,1757223.67
